Prop_ID,Name,Location,Phone,Courts,Indoor_Outdoor,Tennis_Type,Accessible,Info,lat,lon
X010,Cary Leeds Tennis Center,E. 173d St. and Crotona Ave.,(718) 247-7420,22,Indoor,Hard,Y,"Lessons are offered. During the indoor season (The day after Columbus Day &ndash; April 27), there are 10 outdoor courts available, and 10 courts are bubbled and can be rented for a fee. During the outdoor season, there are 15 courts available to Parks tennis permit holders. For booking courts and program information please call or visit <a href=""http://www.nyjtl.org/caryleeds/"">Cary Leeds Tennis Center's</a> website for more information.",40.8394,-73.8951
X196,Haffen Park,"Hammersley, Ely, and Gunther Aves.",(718) 379-8347,6,Outdoor,Hard,Y,,40.874,-73.84
X039,Pelham Bay Park,Bruckner Blvd. and Middletown Rd.,(718) 885-3442,10,Outdoor,Hard,N,,"40.8498479,",-73.8231663
X201,Seton Park,"W. 232nd to 235th St., Palisade and Independence Aves.",(718) 601-6044,6,Outdoor,Hard,N,Lessons Offered,40.8853,-73.9164
X044,St. James Park,Jerome Ave. and E. 193d St.,(718) 822-4271,4,Outdoor,Hard,Y,,40.8656,-73.8972
X045,St. Mary's Park,E. 145 St. and St. Ann's Ave.,(718) 402-5161,2,Outdoor,Hard,Y,,40.8117427,-73.9146046
X092,Van Cortlandt Park,Stadium - W. 242nd St. and Broadway,(718) 549-6494,10,Outdoor,Hard,Y,,40.8904699,-73.8960714
X092,Van Cortlandt Park,"Woodlawn, W. 233rd St. & Jerome Ave.",(718) 549-6494,8,Outdoor,Hard,Y,,40.8957432,-73.8794985
X104,Williamsbridge Oval,E. 208th St. and Bainbridge Ave.,(718) 654-1851,8,Outdoor,Hard,N,,40.8782,-73.8777
X039,Orchard Beach,1 Orchard Beach Road,(718) 885-3247,4,Outdoor,Hard,N,,40.8695057,-73.798821
B007,Bensonhurst Park,9000 Bay Parkway,(718) 866-1031,7,Indoor,Hard,N,"Note: Lessons are offered. All 7 courts are bubbled during the indoor season (Approximately, the day after Columbus Day through the last Friday in April) and may be rented for a fee. During the outdoor season, there are 6 courts available to Parks tennis permit holders. For bookings or for more information about tennis at Bensonhurst Park, please visit <a href=""https://matchpoint.nyc/our-clubs/bensonhurst/"">Matchpoint NYC</a>.",40.5954835,-74.0023528
B215,Decatur Playground,Decatur bet. Summer and Lewis Aves.,(718) 493-7612,1,Outdoor,Hard,N,,40.6814,-73.9363
B028,Dyker Beach Park,"Cropsey Avenue, Bay 8th Street and Poly Place",(718) 259-4016,9,Outdoor,Hard,Y,,40.6063,-74.0166
B032,Ft. Greene Park,DeKalb & S. Portland Aves.,(718) 722-3218,6,Outdoor,Hard,N,Lessons Offered,40.6906,-73.9757
B372,Friends Field,Ave. L & East 4th St.,(718) 965-6502,2,Outdoor,Hard,Y,,40.6184,-73.9722
B294,Jackie Robinson,Malcolm X. Blvd. & Chauncey St.,(718) 622-0025,4,Outdoor,Hard,N,,40.6803,-73.9278
B210W,J.J. Carty,95 Street & Fort Hamilton Pkwy.,(718) 439-4296,10,Outdoor,Hard,N,,40.6115,-74.0316
B166D,Joseph T. McGuire Park,Avenue W and Bergen,,3,Outdoor,Hard,Y,,40.62,-73.8987
B129,Kaiser Playground,Neptune Ave. & W. 25th St.,(718) 946-1357,12,Outdoor,Hard,Y,Lessons Offered,40.5785,-73.9946
B157,Kelly Park Playground,Ave. S & E.14th St.,(718) 946-5913,7,Outdoor,Hard,N,Lessons Offered,40.6040662,-73.9600941
B052,Leif Ericson Park,8th Ave. & 66th St.,(718) 259-4016,9,Outdoor,Hard,N,Lessons Offered,40.6319,-74.0137
B054,Lincoln Terrace Park,Buffalo & Rochester Aves.,(718) 804-7077,11,Outdoor,Hard,N,Lessons Offered,40.6665,-73.9255
B214,Linden Playground,Linden Blvd. & Vermont St.,(718) 927-2059,8,Outdoor,Hard,N,,40.6584,-73.887
B251,Manhattan Beach,Oriental Blvd.,(718) 646-5913,6,Outdoor,Hard,Y,Lessons Offered,40.5777,-73.9399
B057,Marine Park,Fillmore Ave. & Stuart St.,(718) 376-1675,15,Outdoor,Hard,Y,Lessons Offered,40.6079,-73.935
B058,McCarren Tennis Center,North 13th Street Between Berry Street and Bedford Avenue,(347) 873-9698,7,Indoor,Hard,N,"Lessons are offered. All 7 courts are bubbled during the indoor season (the day after Columbus Day-April 27) and may be rented for a fee. During the outdoor season, there are 6 courts available to Parks tennis permit holders. For bookings or for more information about tennis at McCarren Park, please email <a href=""mailto:nycmccarrentennis@gmail.com"">nycmccarrentennis@gmail.com</a>, or visit <a href=""http://www.mccarrentennis.net/"">mccarrentennis.net</a>.",40.7218,-73.9547
